0	2	9	0
5	6	1	10
0	0	0	0
10	10	9	6
7	8	13	7
0	2	9	2
0	3	5	3
4	0	4	2
6	4	4	4
11	12	8	12
9	4	8	7
2	10	4	4
2	0	0	4
2	7	0	0
4	1	4	0
0	4	3	2
4	8	6	8
2	0	2	1
0	1	1	2
0	0	2	0
22	8	12	22
28	19	27	25
5	4	18	9
96	103	104	110
10	8	20	9
19	42	41	39
20	6	8	10
28	32	38	18
15	22	48	12
10	24	18	10
6	16	8	11
9	28	26	30
0	0	0	3
0	4	0	1
14	4	8	14
0	0	0	0
0	2	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	2	0	0
0	0	0	0
0	0	0	0
6	16	9	4
209	163	153	129
4	0	0	2
0	0	0	0
0	2	0	0
0	0	0	0
0	0	0	0
0	0	2	2
0	4	0	0
0	0	2	0
0	0	0	8
2	0	2	12
4	0	0	4
12	8	4	22
0	0	0	0
0	0	0	2
0	0	0	0
0	0	0	0
0	0	0	2
2	0	0	0
2	0	2	0
0	0	0	0
4	8	0	2
0	1	2	1
0	2	1	4
0	0	3	0
0	0	0	0
4	2	4	2
13	8	10	20
5	18	22	23
8	18	24	14
6	15	20	8
8	22	22	11
6	6	2	2
14	8	11	9
1	3	7	0
8	18	30	16
2	8	3	6
2	5	2	0
6	4	0	7
10	9	20	16
8	6	7	1
0	0	0	0
21	9	14	31
2	10	5	14
10	11	9	12
15	15	34	36
2	4	4	0
0	4	4	3
37	43	40	34
9	13	16	5
20	38	34	38
31	30	28	17
6	0	2	2
24	26	21	10
9	20	4	16
12	20	4	23
4	4	2	4
8	11	4	4
0	3	8	0
25	29	31	27
13	1	4	0
0	6	7	7
8	7	28	2
10	2	2	6
10	2	11	10
88	103	74	51
6	10	6	12
19	12	7	17
10	5	12	16
2	2	0	7
2	2	4	4
10	3	4	7
13	11	10	6
0	0	0	2
6	4	2	6
11	18	25	8
8	6	11	4
0	5	3	2
8	9	19	17
14	18	21	33
4	5	6	2
10	13	20	10
9	11	4	10
1	2	2	4
58	44	61	63
68	52	45	74
6	22	16	6
8	8	4	12
2	0	4	1
4	0	0	2
13	5	8	9
7	10	10	14
13	19	15	17
142	140	182	127
23	18	19	41
10	17	7	25
12	13	10	13
12	9	6	18
2	5	4	5
3	4	4	7
4	20	10	8
24	19	22	17
0	0	0	0
0	0	0	0
0	0	0	0
18	16	10	9
21	25	23	30
12	27	33	10
7	14	13	9
14	8	12	12
222	223	209	198
10	6	2	10
10	6	6	8
5	4	14	4
4	8	9	8
6	6	0	0
0	2	2	3
4	2	4	2
0	0	0	0
6	0	2	0
39	24	20	24
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	2	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	2	0	0
0	0	0	0
0	0	0	0
0	2	0	0
4	0	4	2
4	2	2	2
2	0	6	0
0	0	0	2
7	24	18	6
2	0	2	0
10	4	6	4
